time,Solar,Generation:+generation
2016-12-30 00:00,-0.28,0.12
2016-12-30 00:15,-0.28,-0.12
2016-12-30 00:30,-0.28,-0.13
2016-12-30 00:45,-0.28,-0.12
2016-12-30 01:00,-0.28,-0.13
2016-12-30 01:15,-0.28,0.13
2016-12-30 01:30,-0.28,-0.13
2016-12-30 01:45,-0.28,-0.12
2016-12-30 02:00,-0.28,-0.13
2016-12-30 02:15,-0.28,0.0
2016-12-30 02:30,-0.28,0.0
2016-12-30 02:45,-0.28,-0.12
2016-12-30 03:00,-0.29,-0.13
2016-12-30 03:15,-0.28,-0.12
2016-12-30 03:30,-0.29,0.0
2016-12-30 03:45,-0.28,0.0
2016-12-30 04:00,-0.28,-0.13
2016-12-30 04:15,-0.28,-0.12
2016-12-30 04:30,-0.28,0.0
2016-12-30 04:45,-0.28,-0.13
2016-12-30 05:00,-0.28,0.0
2016-12-30 05:15,-0.28,-0.12
2016-12-30 05:30,-0.28,0.0
2016-12-30 05:45,-0.28,-0.13
2016-12-30 06:00,-0.28,-0.12
2016-12-30 06:15,-0.28,0.0
2016-12-30 06:30,-0.28,0.0
2016-12-30 06:45,-0.28,-0.13
2016-12-30 07:00,-0.21,-0.12
2016-12-30 07:15,1.17,0.12
2016-12-30 07:30,3.24,0.63
2016-12-30 07:45,8.5,2.0
2016-12-30 08:00,50.04,7.12
2016-12-30 08:15,67.72,14.63
2016-12-30 08:30,86.26,19.37
2016-12-30 08:45,99.73,23.25
2016-12-30 09:00,114.48,27.0
2016-12-30 09:15,126.81,30.0
2016-12-30 09:30,143.26,32.13
2016-12-30 09:45,81.49,26.75
2016-12-30 10:00,59.97,28.12
2016-12-30 10:15,168.48,38.13
2016-12-30 10:30,113.58,37.25
2016-12-30 10:45,91.18,32.62
2016-12-30 11:00,58.04,31.0
2016-12-30 11:15,33.58,8.88
2016-12-30 11:30,78.45,19.5
2016-12-30 11:45,65.64,23.75
2016-12-30 12:00,55.6,19.75
2016-12-30 12:15,29.56,8.75
2016-12-30 12:30,42.17,11.12
2016-12-30 12:45,14.39,7.13
2016-12-30 13:00,25.87,6.62
2016-12-30 13:15,14.76,5.0
2016-12-30 13:30,25.87,3.75
2016-12-30 13:45,100.83,12.38
2016-12-30 14:00,49.0,15.37
2016-12-30 14:15,31.47,9.25
2016-12-30 14:30,30.76,8.13
2016-12-30 14:45,80.11,7.12
2016-12-30 15:00,47.23,16.5
2016-12-30 15:15,24.0,8.13
2016-12-30 15:30,21.71,5.75
2016-12-30 15:45,8.61,3.75
2016-12-30 16:00,2.32,0.87
2016-12-30 16:15,1.07,0.38
2016-12-30 16:30,-0.11,0.25
2016-12-30 16:45,-0.28,-0.13
2016-12-30 17:00,-0.28,0.0
2016-12-30 17:15,-0.27,-0.12
2016-12-30 17:30,-0.27,0.0
2016-12-30 17:45,-0.27,-0.13
2016-12-30 18:00,-0.27,0.0
2016-12-30 18:15,-0.28,-0.12
2016-12-30 18:30,-0.27,-0.13
2016-12-30 18:45,-0.27,-0.12
2016-12-30 19:00,-0.27,0.12
2016-12-30 19:15,-0.27,-0.12
2016-12-30 19:30,-0.27,-0.13
2016-12-30 19:45,-0.28,-0.12
2016-12-30 20:00,-0.28,0.0
2016-12-30 20:15,-0.28,0.0
2016-12-30 20:30,-0.28,-0.13
2016-12-30 20:45,-0.28,0.0
2016-12-30 21:00,-0.28,-0.12
2016-12-30 21:15,-0.28,-0.13
2016-12-30 21:30,-0.28,-0.12
2016-12-30 21:45,-0.28,0.0
2016-12-30 22:00,-0.28,0.0
2016-12-30 22:15,-0.28,-0.13
2016-12-30 22:30,-0.28,-0.12
2016-12-30 22:45,-0.28,-0.13
2016-12-30 23:00,-0.28,0.13
2016-12-30 23:15,-0.28,-0.13
2016-12-30 23:30,-0.28,-0.12
2016-12-30 23:45,-0.28,-0.13
2016-12-31 00:00,-0.28,0.0
2016-12-31 00:15,-0.28,0.0
2016-12-31 00:30,-0.28,-0.12
2016-12-31 00:45,-0.28,-0.13
2016-12-31 01:00,-0.28,0.0
2016-12-31 01:15,-0.28,0.0
2016-12-31 01:30,-0.28,-0.12
2016-12-31 01:45,-0.28,-0.13
2016-12-31 02:00,-0.28,-0.12
2016-12-31 02:15,-0.28,0.0
2016-12-31 02:30,-0.28,0.0
2016-12-31 02:45,-0.28,-0.13
2016-12-31 03:00,-0.28,-0.12
2016-12-31 03:15,-0.29,0.0
2016-12-31 03:30,-0.36,-0.13
2016-12-31 03:45,-0.34,-0.12
2016-12-31 04:00,-0.35,-0.13
2016-12-31 04:15,-0.34,-0.12
2016-12-31 04:30,-0.35,0.12
2016-12-31 04:45,-0.34,-0.12
2016-12-31 05:00,-0.35,-0.13
2016-12-31 05:15,-0.34,-0.12
2016-12-31 05:30,-0.34,0.0
2016-12-31 05:45,-0.34,-0.13
2016-12-31 06:00,-0.34,-0.12
2016-12-31 06:15,-0.34,-0.13
2016-12-31 06:30,-0.34,0.0
2016-12-31 06:45,-0.33,-0.12
2016-12-31 07:00,0.0,0.0
2016-12-31 07:15,5.11,0.25
2016-12-31 07:30,19.45,2.87
2016-12-31 07:45,39.72,7.5
2016-12-31 08:00,35.27,10.88
2016-12-31 08:15,36.09,9.25
2016-12-31 08:30,44.81,10.87
2016-12-31 08:45,54.45,13.13
2016-12-31 09:00,66.05,14.87
2016-12-31 09:15,59.12,16.13
2016-12-31 09:30,73.87,16.12
2016-12-31 09:45,89.76,21.88
2016-12-31 10:00,76.43,21.87
2016-12-31 10:15,105.08,25.38
2016-12-31 10:30,129.59,29.62
2016-12-31 10:45,109.76,30.25
2016-12-31 11:00,142.55,32.38
2016-12-31 11:15,100.0,30.87
2016-12-31 11:30,202.21,38.63
2016-12-31 11:45,185.21,44.0542
2016-12-31 12:00,140.8978,41.1958
2016-12-31 12:15,108.52,32.0
2016-12-31 12:30,146.42,27.0
2016-12-31 12:45,132.06,27.75
2016-12-31 13:00,86.22,31.5
2016-12-31 13:15,92.22,20.5
2016-12-31 13:30,85.42,24.25
2016-12-31 13:45,113.83,24.12
2016-12-31 14:00,107.36,26.0
2016-12-31 14:15,33.62,21.5343
2016-12-31 14:30,90.9043,12.7157
2016-12-31 14:45,57.04,13.38
2016-12-31 15:00,29.92,11.62
2016-12-31 15:15,29.33,8.25
2016-12-31 15:30,13.11,5.13
2016-12-31 15:45,7.04,2.75
2016-12-31 16:00,2.0,0.62
2016-12-31 16:15,0.61,0.25
2016-12-31 16:30,-0.52,0.13
2016-12-31 16:45,-0.27,0.0
2016-12-31 17:00,-0.27,-0.13
2016-12-31 17:15,-0.28,-0.12
2016-12-31 17:30,-0.28,-0.13
2016-12-31 17:45,-0.28,0.0
2016-12-31 18:00,-0.27,0.0
2016-12-31 18:15,-0.27,-0.12
2016-12-31 18:30,-0.28,-0.13
2016-12-31 18:45,-0.28,0.0
2016-12-31 19:00,-0.28,-0.12
2016-12-31 19:15,-0.28,-0.13
2016-12-31 19:30,-0.28,0.0
2016-12-31 19:45,-0.27,0.0
2016-12-31 20:00,-0.28,-0.12
2016-12-31 20:15,-0.28,-0.13
2016-12-31 20:30,-0.28,-0.12
2016-12-31 20:45,-0.28,0.12
2016-12-31 21:00,-0.28,-0.12
2016-12-31 21:15,-0.28,-0.13
2016-12-31 21:30,-0.28,-0.12
2016-12-31 21:45,-0.27,0.0
2016-12-31 22:00,-0.28,0.0
2016-12-31 22:15,-0.28,-0.13
2016-12-31 22:30,-0.28,-0.12
2016-12-31 22:45,-0.28,0.0
2016-12-31 23:00,-0.28,-0.13
2016-12-31 23:15,-0.28,0.0
2016-12-31 23:30,-0.28,-0.12
2016-12-31 23:45,-0.28,0.0
2017-01-01 00:00,-0.28,-0.13
2017-01-01 00:15,-0.28,-0.12
2017-01-01 00:30,-0.28,0.0
2017-01-01 00:45,-0.28,0.0
2017-01-01 01:00,-0.28,-0.13
2017-01-01 01:15,-0.28,-0.12
2017-01-01 01:30,-0.28,-0.13
2017-01-01 01:45,-0.28,0.0
2017-01-01 02:00,-0.28,0.0
2017-01-01 02:15,-0.28,-0.12
2017-01-01 02:30,-0.28,-0.13
2017-01-01 02:45,-0.28,-0.12
2017-01-01 03:00,-0.28,0.12
2017-01-01 03:15,-0.28,-0.12
2017-01-01 03:30,-0.28,-0.13
2017-01-01 03:45,-0.28,-0.1195
2017-01-01 04:00,-0.28,-0.0005
2017-01-01 04:15,-0.28,0.0
2017-01-01 04:30,-0.28,-0.13
2017-01-01 04:45,-0.28,-0.12
2017-01-01 05:00,-0.28,0.0
2017-01-01 05:15,-0.28,-0.13
2017-01-01 05:30,-0.28,0.0
2017-01-01 05:45,-0.28,-0.12
2017-01-01 06:00,-0.28,-0.13
2017-01-01 06:15,-0.28,0.0
2017-01-01 06:30,-0.28,-0.12
2017-01-01 06:45,-0.28,0.0
2017-01-01 07:00,-0.11,-0.13
2017-01-01 07:15,4.62,0.38
2017-01-01 07:30,16.32,2.5
2017-01-01 07:45,32.03,5.87
2017-01-01 08:00,8.23,3.13
2017-01-01 08:15,64.61,9.5
2017-01-01 08:30,83.56,18.75
2017-01-01 08:45,97.33,22.75
2017-01-01 09:00,111.03,26.12
2017-01-01 09:15,122.65,29.38
2017-01-01 09:30,132.57,31.87
2017-01-01 09:45,143.24,34.75
2017-01-01 10:00,152.82,36.88
2017-01-01 10:15,161.44,39.37
2017-01-01 10:30,165.4,40.75
2017-01-01 10:45,170.66,42.13
2017-01-01 11:00,177.01,43.75
2017-01-01 11:15,200.73,46.87
2017-01-01 11:30,195.93,31.38
2017-01-01 11:45,183.94,42.87
2017-01-01 12:00,184.63,45.75
2017-01-01 12:15,182.27,44.5
2017-01-01 12:30,179.15,44.75
2017-01-01 12:45,171.38,43.63
2017-01-01 13:00,166.86,41.87
2017-01-01 13:15,159.53,40.63
2017-01-01 13:30,147.84,37.12
2017-01-01 13:45,142.57,36.5
2017-01-01 14:00,131.3,34.25
2017-01-01 14:15,118.81,31.5
2017-01-01 14:30,105.23,27.88
2017-01-01 14:45,56.47,18.0
2017-01-01 15:00,50.01,14.5
2017-01-01 15:15,16.89,7.62
2017-01-01 15:30,8.07,2.63
2017-01-01 15:45,6.06,1.75
2017-01-01 16:00,4.13,1.12
2017-01-01 16:15,1.93,0.63
2017-01-01 16:30,-0.18,0.12
2017-01-01 16:45,-0.27,0.0
2017-01-01 17:00,-0.27,-0.12
2017-01-01 17:15,-0.27,0.0
2017-01-01 17:30,-0.27,-0.13
2017-01-01 17:45,-0.27,0.0
2017-01-01 18:00,-0.27,-0.12
2017-01-01 18:15,-0.28,-0.13
2017-01-01 18:30,-0.28,0.0
2017-01-01 18:45,-0.28,0.0
2017-01-01 19:00,-0.28,-0.12
2017-01-01 19:15,-0.36,-0.13
2017-01-01 19:30,-0.37,-0.12
2017-01-01 19:45,-0.37,0.0
2017-01-01 20:00,-0.39,-0.13
2017-01-01 20:15,-0.38,-0.12
2017-01-01 20:30,-0.39,-0.13
2017-01-01 20:45,-0.38,0.0
2017-01-01 21:00,-0.37,-0.12
2017-01-01 21:15,-0.38,-0.13
2017-01-01 21:30,-0.38,-0.12
2017-01-01 21:45,-0.38,0.0
2017-01-01 22:00,-0.38,-0.13
2017-01-01 22:15,-0.38,-0.12
2017-01-01 22:30,-0.39,-0.13
2017-01-01 22:45,-0.38,0.0
2017-01-01 23:00,-0.38,-0.12
2017-01-01 23:15,-0.39,-0.13
2017-01-01 23:30,-0.39,-0.12
2017-01-01 23:45,-0.4,-0.13
2017-01-02 00:00,-0.38,0.0
2017-01-02 00:15,-0.39,-0.12
2017-01-02 00:30,-0.39,-0.13
2017-01-02 00:45,-0.39,-0.12
2017-01-02 01:00,-0.38,0.0
2017-01-02 01:15,-0.38,-0.13
2017-01-02 01:30,-0.39,-0.12
2017-01-02 01:45,-0.39,-0.13
2017-01-02 02:00,-0.39,-0.12
2017-01-02 02:15,-0.38,0.0
2017-01-02 02:30,-0.39,-0.13
2017-01-02 02:45,-0.39,-0.12
2017-01-02 03:00,-0.38,-0.13
2017-01-02 03:15,-0.39,0.0
2017-01-02 03:30,-0.38,-0.12
2017-01-02 03:45,-0.38,-0.13
2017-01-02 04:00,-0.38,-0.12
2017-01-02 04:15,-0.38,-0.13
2017-01-02 04:30,-0.38,0.0
2017-01-02 04:45,-0.39,-0.12
2017-01-02 05:00,-0.39,-0.13
2017-01-02 05:15,-0.38,-0.12
2017-01-02 05:30,-0.39,0.0
2017-01-02 05:45,-0.38,-0.13
2017-01-02 06:00,-0.38,-0.12
2017-01-02 06:15,-0.38,-0.13
2017-01-02 06:30,-0.37,0.0
2017-01-02 06:45,-0.37,-0.12
2017-01-02 07:00,-0.38,-0.13
2017-01-02 07:15,-0.38,-0.12
2017-01-02 07:30,-0.3,0.0
2017-01-02 07:45,0.14,0.0
2017-01-02 08:00,1.69,0.25
2017-01-02 08:15,3.46,0.62
2017-01-02 08:30,4.47,0.88
2017-01-02 08:45,6.51,1.0
2017-01-02 09:00,7.6,1.75
2017-01-02 09:15,7.87,2.12
2017-01-02 09:30,7.29,1.88
2017-01-02 09:45,10.03,1.87
2017-01-02 10:00,14.37,3.0
2017-01-02 10:15,17.63,4.5
2017-01-02 10:30,27.67,6.13
2017-01-02 10:45,26.63,6.62
2017-01-02 11:00,18.64,5.75
2017-01-02 11:15,18.41,4.5
2017-01-02 11:30,11.48,3.88
2017-01-02 11:45,12.6,2.87
2017-01-02 12:00,16.34,3.5
2017-01-02 12:15,26.17,5.25
2017-01-02 12:30,16.92,5.0
2017-01-02 12:45,9.5,3.0
2017-01-02 13:00,13.88,2.5
2017-01-02 13:15,12.03,2.88
2017-01-02 13:30,6.82,2.62
2017-01-02 13:45,5.98,2.13
2017-01-02 14:00,7.93,1.5
2017-01-02 14:15,8.01,2.0
2017-01-02 14:30,8.31,2.37
2017-01-02 14:45,5.94,1.5
2017-01-02 15:00,5.15,1.0
2017-01-02 15:15,1.95,1.0
2017-01-02 15:30,3.66,0.5
2017-01-02 15:45,1.55,0.75
2017-01-02 16:00,0.33,0.38
2017-01-02 16:15,-0.43,-0.13
2017-01-02 16:30,-0.27,0.0
2017-01-02 16:45,-0.28,-0.12
2017-01-02 17:00,-0.28,0.0
2017-01-02 17:15,-0.28,-0.13
2017-01-02 17:30,-0.27,0.0
2017-01-02 17:45,-0.27,-0.12
2017-01-02 18:00,-0.28,0.0
2017-01-02 18:15,-0.27,-0.13
2017-01-02 18:30,-0.28,-0.12
2017-01-02 18:45,-0.28,0.0
2017-01-02 19:00,-0.28,0.0
2017-01-02 19:15,-0.28,-0.13
2017-01-02 19:30,-0.28,-0.12
2017-01-02 19:45,-0.28,0.0
2017-01-02 20:00,-0.28,-0.13
2017-01-02 20:15,-0.28,0.0
2017-01-02 20:30,-0.28,-0.12
2017-01-02 20:45,-0.28,0.0
2017-01-02 21:00,-0.28,-0.13
2017-01-02 21:15,-0.28,-0.12
2017-01-02 21:30,-0.28,-0.13
2017-01-02 21:45,-0.28,0.13
2017-01-02 22:00,-0.28,-0.13
2017-01-02 22:15,-0.28,-0.12
2017-01-02 22:30,-0.28,-0.13
2017-01-02 22:45,-0.28,0.0
2017-01-02 23:00,-0.28,0.0
2017-01-02 23:15,-0.28,-0.12
2017-01-02 23:30,-0.28,-0.13
2017-01-02 23:45,-0.28,0.0
2017-01-03 00:00,-0.28,-0.12
2017-01-03 00:15,-0.28,0.0
2017-01-03 00:30,-0.28,-0.13
2017-01-03 00:45,-0.28,-0.12
2017-01-03 01:00,-0.28,0.0
2017-01-03 01:15,-0.28,-0.13
2017-01-03 01:30,-0.28,0.0
2017-01-03 01:45,-0.28,-0.12
2017-01-03 02:00,-0.28,0.0
2017-01-03 02:15,-0.28,-0.13
2017-01-03 02:30,-0.28,-0.12
2017-01-03 02:45,-0.28,0.0
2017-01-03 03:00,-0.28,0.0
2017-01-03 03:15,-0.28,-0.13
2017-01-03 03:30,-0.28,-0.12
2017-01-03 03:45,-0.28,-0.13
2017-01-03 04:00,-0.28,0.0
2017-01-03 04:15,-0.28,0.0
2017-01-03 04:30,-0.28,-0.12
2017-01-03 04:45,-0.28,-0.13
2017-01-03 05:00,-0.28,-0.12
2017-01-03 05:15,-0.28,0.12
2017-01-03 05:30,-0.28,-0.12
2017-01-03 05:45,-0.28,-0.13
2017-01-03 06:00,-0.28,-0.12
2017-01-03 06:15,-0.28,0.0
2017-01-03 06:30,-0.28,-0.13
2017-01-03 06:45,-0.27,0.0
2017-01-03 07:00,-0.28,-0.12
2017-01-03 07:15,-0.19,0.0
2017-01-03 07:30,0.69,0.12
2017-01-03 07:45,1.41,0.25
2017-01-03 08:00,2.71,0.38
2017-01-03 08:15,4.7,0.87
2017-01-03 08:30,7.68,1.63
2017-01-03 08:45,10.58,2.5
2017-01-03 09:00,14.26,3.75
2017-01-03 09:15,12.99,3.12
2017-01-03 09:30,13.94,3.25
2017-01-03 09:45,17.62,4.13
2017-01-03 10:00,19.56,5.5
2017-01-03 10:15,26.24,5.62
2017-01-03 10:30,18.11,6.0
2017-01-03 10:45,14.79,3.38
2017-01-03 11:00,17.86,4.37
2017-01-03 11:15,16.72,4.13
2017-01-03 11:30,20.58,4.75
2017-01-03 11:45,12.42,3.62
2017-01-03 12:00,22.4,3.75
2017-01-03 12:15,27.28,6.25
2017-01-03 12:30,25.79,6.63
2017-01-03 12:45,34.15,8.25
2017-01-03 13:00,38.39,9.37
2017-01-03 13:15,22.1,7.75
2017-01-03 13:30,14.65,4.25
2017-01-03 13:45,18.67,4.13
2017-01-03 14:00,8.77,3.87
2017-01-03 14:15,9.14,1.5
2017-01-03 14:30,7.09,2.13
2017-01-03 14:45,4.51,1.25
2017-01-03 15:00,24.9,4.25
2017-01-03 15:15,16.32,5.87
